Index,NonDemented mean (SD),VeryMildDemented mean (SD),MildDemented mean (SD),ModerateDemented mean (SD),ANOVA F,p,eta^2,Spearman rho
Ventricle-to-brain ratio,0.0615 (0.0310),0.0750 (0.0354),0.0877 (0.0359),0.0896 (0.0295),53.2,1.00e-32,0.093,+0.324
Total CSF fraction,0.1690 (0.0311),0.1855 (0.0262),0.2010 (0.0247),0.2110 (0.0287),130.9,1.25e-75,0.201,+0.443
Sulcal CSF fraction,0.1075 (0.0230),0.1105 (0.0274),0.1133 (0.0296),0.1214 (0.0267),7.4,6.11e-05,0.014,+0.102
Brain parenchymal fraction,0.8310 (0.0311),0.8145 (0.0262),0.7990 (0.0247),0.7890 (0.0287),130.9,1.25e-75,0.201,-0.443
Ventricular asymmetry,0.0904 (0.0784),0.0922 (0.0818),0.1136 (0.0864),0.1142 (0.0765),9.0,6.96e-06,0.017,+0.128
Cortical rim fraction,0.3829 (0.0615),0.3439 (0.0498),0.3189 (0.0412),0.3198 (0.0369),139.9,2.67e-80,0.212,-0.437
Grey/white ratio,0.4769 (0.0990),0.4077 (0.0643),0.3787 (0.0542),0.3840 (0.0280),161.6,3.17e-91,0.237,-0.450
